Date,Open,High,Low,Close,Volume
2000-12-05,10576.78,10916.92,10576.78,10897.9,297452416
2000-12-06,10896.14,10896.14,10621.15,10665.1,318821408
2000-12-07,10644.66,10688.26,10583.61,10618.4,254388000
2000-12-08,10632.14,10802.78,10632.14,10712.9,280581600
2000-12-11,10719.36,10791.78,10670.82,10725.8,261579008
2000-12-12,10722.77,10855.87,10704.19,10768.2,242862000
2000-12-13,10777.95,10914.26,10772.92,10794.4,244218592
2000-12-14,10794.82,10798.99,10615.84,10674.9,197298592
2000-12-15,10647.98,10653.38,10434.9,10434.9,489049216
2000-12-18,10433.34,10679.54,10433.34,10645.4,221870400
2000-12-19,10643.14,10784.58,10583.23,10585.88,284528992
2000-12-20,10580.97,10580.97,10324.24,10327.37,317729984
2000-12-21,10314.38,10520.47,10299.59,10487.2,327726016
2000-12-22,10495.26,10640.39,10476.3,10635.5,235497600
2000-12-26,10638.21,10700.4,10597.64,10692.4,157039200
2000-12-27,10690.1,10828.94,10551,10803.16,194208000
2000-12-28,10795.2,10901.28,10775,10868.7,192372000
2000-12-29,10868.76,10916.92,10758.79,10788.7,215016000
2001-01-02,10790.92,10796.21,10585.36,10646.1,258366000
2001-01-03,10637.42,11014.99,10581.49,10945.7,429134400
2001-01-04,10944.94,11028,10888.62,10912.4,390456000
2001-01-05,10912.81,10919.02,10627.85,10666.08,278103008
2001-01-08,10658.73,10700.64,10516.02,10621.7,230295600
2001-01-09,10625.21,10680.31,10531.07,10572.5,259243200
2001-01-10,10568.48,10611.59,10472.51,10604.2,268974016
2001-01-11,10600.2,10637.61,10552.62,10609.5,285314400
2001-01-12,10608.74,10622.97,10468.85,10521.7,251960400
2001-01-15,10652.66,10652.66,10652.66,10652.66,231940352
2001-01-16,10525.78,10664.05,10486.75,10652.6,237996608
2001-01-17,10660.95,10705.52,10545.71,10577.8,310896000
2001-01-18,10584.57,10737.24,10567.47,10678.2,313466400
2001-01-19,10686,10717.72,10564.42,10587.59,370361984
2001-01-22,10581.9,10633.95,10510.33,10578.2,238527008
2001-01-23,10575.8,10678.99,10553.84,10649.8,275369408
2001-01-24,10651.85,10680.21,10620.13,10646.9,288853792
2001-01-25,10644.53,10778.72,10633.95,10729.5,254102400
2001-01-26,10727.08,10742.53,10603.05,10659.9,237649792
2001-01-29,10657.13,10724.69,10612.53,10702.1,229479600
2001-01-30,10702.19,10900.7,10683.82,10881.2,247758000
2001-01-31,10882.25,10957.44,10833.46,10887.3,286171200
2001-02-01,10884.82,10983.2,10864.17,10983.2,226113600
2001-02-02,10982.71,11022.68,10848.99,10864.1,211078800
2001-02-05,10860.44,10977.66,10851.43,10967.9,193647008
2001-02-06,10965.03,11035.01,10864.1,10864.1,203500192
2001-02-07,10948.95,11003.5,10911.26,10946.7,241076992
2001-02-08,10940.62,10965.18,10872.25,10880.55,212466000
2001-02-09,10852.46,10859.6,10754.96,10780.8,211752000
2001-02-12,10779.42,10953.5,10771.65,10939.51,179611808
2001-02-13,10950.18,11012.77,10897.69,10903.3,202235392
2001-02-14,10899.42,10917.71,10780.41,10795.4,193086000
2001-02-15,10800.65,10922.58,10800.65,10891,224063392
2001-02-16,10884.11,10884.11,10722.15,10799,206437792
2001-02-19,10730.88,10730.88,10730.88,10730.88,202146624
2001-02-20,10800.23,10903.04,10727.73,10730.8,217076400
2001-02-21,10721.29,10745.78,10520.68,10526.2,224022592
2001-02-22,10527.8,10566.06,10373.09,10522.35,284090400
2001-02-23,10529.25,10529.25,10294.2,10440,267076800
2001-02-26,10447.59,10636.41,10421.91,10636.17,248135392
2001-02-27,10638.44,10698.35,10560.33,10636.8,244188000
2001-02-28,10660.34,10684.33,10423.6,10495.2,258457792
2001-03-01,10493.25,10493.25,10302.95,10455.23,264210592
2001-03-02,10438.04,10579.27,10302.92,10466.3,260222400
2001-03-05,10468.93,10571.62,10468.93,10562.3,175215600
2001-03-06,10570.17,10690.71,10570.17,10591.2,223063808
2001-03-07,10591.86,10730.79,10591.86,10723.14,243259808
2001-03-08,10727.16,10858.9,10711.36,10858.2,220452608
2001-03-09,10850.11,10850.11,10579.8,10644.6,285661184
2001-03-12,10638.52,10638.52,10166.95,10208.2,299094592
2001-03-13,10206.89,10291.34,10108.49,10290.8,286905600
2001-03-14,10061.52,10090.37,9895.64,9973.4,313782592
2001-03-15,9982.92,10096.67,9980.92,10027.9,238394400
2001-03-16,10023.55,10048.98,9814.61,9823.4,372320384
2001-03-19,9820.05,9992.26,9795.13,9959.1,244310400
2001-03-20,9961.14,10019.6,9719.01,9720.7,273431392
2001-03-21,9717.46,9719.44,9462.34,9489.39,319219200
2001-03-22,9490.66,9497.11,9106.97,9389.1,425156416
2001-03-23,9395.58,9529.29,9338.39,9504.78,342913792
2001-03-26,9509.25,9724.87,9509.25,9687.5,261201600
2001-03-27,9687.93,9960.81,9649.97,9947.5,331520384
2001-03-28,9813.41,9817.04,9716.92,9785.3,276552608
2001-03-29,9784.94,9882.67,9687.61,9799,255051008
2001-03-30,9799.47,9907.95,9760.85,9878.7,253980000
2001-04-02,9877.16,9992.53,9705.07,9777.9,241954208
2001-04-03,9774.78,9774.78,9428.21,9485.3,278755808
2001-04-04,9480.95,9625.9,9375.97,9515.4,307632000
2001-04-05,9527.21,9929.44,9527.21,9918,287344192
2001-04-06,9913.94,9913.94,9698.07,9791,275400000
2001-04-09,9793.58,9935.39,9775.85,9845.1,212700608
2001-04-10,9850.35,10155.24,9849.57,10102.7,288486592
2001-04-11,10109.05,10173.4,9951.98,10019.6,305265600
2001-04-12,10013.08,10126.9,9934.67,10126.9,219820192
2001-04-13,10158.56,10158.56,10158.56,10158.56,205466448
2001-04-16,10118.16,10184.26,10046.52,10145.81,199705792
2001-04-17,10151.73,10219.33,10075.92,10216.8,239404192
2001-04-18,10226.88,10687.08,10226.88,10615.6,471036000
2001-04-19,10616.09,10694.2,10562.15,10694.2,339262208
2001-04-20,10690.33,10706.01,10521.76,10579.9,330847200
2001-04-23,10571,10571,10483.23,10532.2,233988000
2001-04-24,10529.75,10636.58,10448.42,10454.3,228704400
2001-04-25,10453.43,10639.16,10444.19,10625.2,204214208
2001-04-26,10633.01,10766.91,10624.29,10692.3,243402592
2001-04-27,10694.95,10810,10694.95,10810,227449792
2001-04-30,10814.41,10905.69,10712.26,10734.9,210548400
2001-05-01,10734.05,10903.94,10731.91,10898.3,207845408
2001-05-02,10902.77,10938.68,10802.82,10876.6,232855808
2001-05-03,10872.32,10872.32,10723.97,10796.6,201562208
2001-05-04,10793.2,10957.62,10673.61,10951.2,218290208
2001-05-07,10952.35,10995.16,10893.66,10930.8,194524192
2001-05-08,10936.66,10943.82,10820.07,10883,196135808
2001-05-09,10875.96,10913.89,10800.94,10866.4,216974400
2001-05-10,10868.87,10979.02,10868.87,10910.4,193769408
2001-05-11,10908.3,10920.07,10774.13,10821.3,178214400
2001-05-14,10819.55,10878.76,10800.16,10877.3,154254592
2001-05-15,10877.46,10922.09,10816.49,10872.9,206091008
2001-05-16,10864.74,11230.82,10814.64,11216.1,228327008
2001-05-17,11218.65,11328.61,11182.48,11248.5,288741600
2001-05-18,11245.78,11302.98,11193.67,11301.7,218657408
2001-05-21,11299.14,11345.66,11232.9,11337.9,232182592
2001-05-22,11339.8,11346.96,11242.6,11257.2,226409408
2001-05-23,11257.76,11260.88,11101.35,11104.9,228612608
2001-05-24,11107.07,11173.37,11045,11122.4,205193408
2001-05-25,11122.03,11123.66,10993.99,11005.3,149134208
2001-05-28,11039.14,11039.14,11039.14,11039.14,176453632
2001-05-29,11004.66,11065.75,10970.56,11039.1,218830800
2001-05-30,11032.96,11041.87,10864.83,10871.5,217382400
2001-05-31,10873.23,10978.89,10865.94,10911.9,194473200
