Date,Open,High,Low,Close,Volume
1999-10-21,1289.43,1289.43,1265.61,1283.61,158203120
1999-10-22,1283.61,1308.89,1283.61,1301.65,149875008
1999-10-25,1301.65,1301.83,1286.08,1293.63,121406248
1999-10-26,1293.63,1303.44,1281.86,1281.91,137234368
1999-10-27,1281.91,1299.39,1280.48,1296.71,148453120
1999-10-28,1296.71,1342.47,1296.71,1342.44,177359376
1999-10-29,1342.44,1373.22,1342.44,1362.93,175078128
1999-11-01,1362.93,1367.37,1353.92,1354.12,134531248
1999-11-02,1354.12,1369.44,1346.49,1347.74,141328128
1999-11-03,1347.74,1360.44,1347.74,1354.93,142875008
1999-11-04,1354.93,1369.4,1354.93,1362.64,153390624
1999-11-05,1362.64,1387.49,1362.64,1370.23,157390624
1999-11-08,1370.23,1380.78,1365.87,1377.01,126062496
1999-11-09,1377.01,1383.81,1361.45,1365.28,133484376
1999-11-10,1365.28,1379.26,1360.19,1373.46,153859376
1999-11-11,1373.46,1382.12,1372.2,1381.46,139265632
1999-11-12,1381.46,1396.12,1367.97,1396.06,140656256
1999-11-15,1396.06,1398.59,1392.17,1394.39,124328128
1999-11-16,1394.39,1420.36,1394.39,1420.03,147218752
1999-11-17,1420.07,1423.55,1410.69,1410.71,150000000
1999-11-18,1410.71,1425.27,1410.71,1424.94,159812496
1999-11-19,1424.94,1424.94,1417.61,1422,139656256
1999-11-22,1422,1425.15,1412.3,1420.94,136484368
1999-11-23,1420.94,1424.1,1402.2,1404.64,144703120
1999-11-24,1404.64,1419.71,1399.17,1417.08,114812496
1999-11-26,1417.08,1425.24,1416.14,1416.62,48768752
1999-11-29,1416.62,1416.62,1404.15,1407.83,135328128
1999-11-30,1407.83,1410.59,1386.95,1389.07,148671872
1999-12-01,1388.91,1400.12,1387.38,1397.72,138124992
1999-12-02,1397.72,1409.04,1397.72,1409.04,140734368
1999-12-03,1413.25,1447.42,1413.25,1433.3,157250000
1999-12-06,1433.3,1434.19,1418.25,1423.34,143250000
