Date,Open,High,Low,Close,Adj Close,Volume
2016-02-09,65.057663,67.178329,65.057663,66.324371,58.188507,5762225
2016-02-10,66.552094,67.164101,65.441940,65.698135,57.639080,7230955
2016-02-11,64.274864,65.228455,63.193176,63.762486,55.940876,7565326
2016-02-12,64.445656,65.612732,63.890579,65.484642,57.451771,5048516
2016-02-16,65.740829,66.722885,65.456177,66.651726,58.475708,4613742
2016-02-17,67.036003,68.487740,66.822517,68.302711,59.924171,7341897
2016-02-18,68.203087,68.359650,67.477219,67.704941,59.399723,3756421
2016-02-19,67.477219,67.548386,66.879448,67.007538,58.787861,3716161
2016-02-22,67.704941,68.800858,67.619545,68.160385,59.799290,5452375
2016-02-23,67.747643,67.747643,66.338600,66.865211,58.663017,4448419
2016-02-24,66.039719,67.221031,65.726601,67.164101,58.925224,4353005
2016-02-25,67.377586,68.459274,66.836746,68.459274,60.061508,3773283
2016-02-26,68.971649,69.825615,68.772392,69.370171,60.860668,3967133
2016-02-29,69.213608,70.793434,69.042816,69.185143,60.698341,6130602
2016-03-01,70.010635,71.320045,69.811378,71.263115,62.521427,5126084
2016-03-02,70.523018,71.163490,69.669052,70.622643,61.959515,4896542
2016-03-03,70.679573,71.063858,70.053337,70.594177,61.934544,3356988
2016-03-04,70.594177,72.017448,69.967941,71.576233,62.796120,5447386
2016-03-07,71.106560,71.789726,70.437622,70.821899,62.134327,7553452
2016-03-08,70.295296,70.636879,68.957420,69.498260,60.973057,6757468
2016-03-09,69.911011,70.380692,69.597893,69.825615,61.260258,2458705
2016-03-10,70.238365,70.921532,69.256310,69.925240,61.347668,3794572
2016-03-11,70.565712,72.330566,70.565712,72.045914,63.208202,4857407
2016-03-14,71.462372,72.117081,71.391212,71.562004,62.783657,2940412
2016-03-15,71.049629,71.462372,70.750740,71.433907,62.671253,3974721
2016-03-16,71.277351,72.344803,70.878830,72.102844,63.258137,3424087
2016-03-17,72.145546,73.269928,72.017448,73.156067,64.182182,4099785
2016-03-18,73.454948,74.337379,73.255692,73.526115,64.506821,7118538
2016-03-21,73.312622,73.583046,72.102844,73.355324,64.356979,5003057
2016-03-22,72.743317,73.355324,72.487129,72.942574,63.994858,4022498
2016-03-23,72.828712,73.469185,72.657921,72.842949,63.907459,3016153
2016-03-24,72.373268,73.056435,71.889359,73.042206,64.082268,3686582
2016-03-28,73.540344,73.810768,73.241463,73.383789,64.381950,3582666
2016-03-29,72.330566,72.928345,71.604698,72.757553,64.407150,4574888
2016-03-30,73.212997,73.511887,72.899879,73.269928,64.860718,3636486
2016-03-31,73.568810,73.583046,71.932053,72.387497,64.079575,3939661
2016-04-01,71.718559,73.027969,71.220421,72.786018,64.432343,4243890
2016-04-04,72.401733,72.914108,72.145546,72.686386,64.344170,3404766
2016-04-05,72.145546,72.985275,72.060150,72.216705,63.928391,3189206
2016-04-06,72.216705,72.714851,71.277351,72.487129,64.167763,4462963
2016-04-07,71.832420,72.060150,71.305817,71.789726,63.550404,4096483
2016-04-08,72.600990,72.942574,71.932053,72.259407,63.966175,2888560
2016-04-11,72.501358,72.928345,72.074379,72.245171,63.953579,2510276
2016-04-12,72.472893,73.540344,72.330566,73.469185,65.037102,3625947
2016-04-13,73.981560,74.508171,73.796539,74.308914,65.780457,4004863
2016-04-14,74.437012,75.077477,74.166588,74.522408,65.969467,3723117
2016-04-15,74.807060,74.849754,73.967331,74.536636,65.982063,3112762
2016-04-18,74.536636,74.792824,73.682678,74.778595,66.196236,5266395
2016-04-19,75.234039,75.902977,75.134407,75.504463,66.838783,4441112
2016-04-20,75.902977,75.931442,73.910400,73.924629,65.440277,6232901
2016-04-21,74.294678,74.792824,73.583046,73.981560,65.490692,4143768
2016-04-22,74.522408,75.177109,74.380074,74.878220,66.284431,3797664
2016-04-25,74.593567,74.778595,73.497650,74.778595,66.196236,5023503
2016-04-26,75.433296,76.685776,75.390602,76.386887,67.619949,5458066
2016-04-27,76.216095,76.828102,75.760651,76.287262,67.531761,5023644
2016-04-28,75.518692,76.671539,74.636269,76.031067,67.304962,6409326
2016-04-29,76.159164,76.415352,74.408539,74.878220,66.284431,5027578
2016-05-02,75.262505,75.376366,74.508171,74.935150,66.334831,7684629
